TirePressure_Front,TirePressure_Rear,TireSize_Front,TireSize_Rear,DriverWeight_kg,CoolantTemperature_C,CoolantType,PES
1.61,1.89,30/71-R18,35/71-R18,81,100,Ethylene Glycol,4834890.0
1.57,1.51,30/71-R18,32/71-R18,81,98,Ethylene Glycol,5112963.74
1.95,1.72,27/71-R18,35/71-R18,70,98,Ethylene Glycol,3736995.28
1.98,2.08,31/71-R18,33/71-R18,74,85,Ethylene Glycol,3200672.7
1.59,1.6,29/71-R18,35/71-R18,79,87,Ethylene Glycol,4458772.57
1.74,1.56,30/71-R18,36/71-R18,71,94,Ethylene Glycol,4231042.97
1.93,1.94,30/71-R18,34/71-R18,76,94,Ethylene Glycol,3849555.48
1.89,1.99,31/71-R18,35/71-R18,79,91,Ethylene Glycol,3965029.95
1.7,1.98,30/71-R18,34/71-R18,83,96,Ethylene Glycol,4481133.91
1.93,1.52,29/71-R18,33/71-R18,84,103,Ethylene Glycol,5068021.85
1.68,1.83,28/71-R18,34/71-R18,75,101,Ethylene Glycol,4303752.44
1.42,1.99,28/71-R18,32/71-R18,70,92,Ethylene Glycol,3670453.45
1.86,1.63,30/71-R18,32/71-R18,82,104,Ethylene Glycol,4840404.83
1.65,1.92,27/71-R18,32/71-R18,71,94,Ethylene Glycol,3577146.22
1.59,1.98,28/71-R18,33/71-R18,76,89,Ethylene Glycol,3745829.31
1.51,1.55,29/71-R18,34/71-R18,70,85,Ethylene Glycol,3917602.5
1.67,1.64,27/71-R18,32/71-R18,82,85,Ethylene Glycol,4012763.77
1.97,1.94,29/71-R18,34/71-R18,76,87,Ethylene Glycol,3469204.79
1.55,1.71,30/71-R18,32/71-R18,83,89,Ethylene Glycol,4508170.54
1.46,1.69,31/71-R18,32/71-R18,79,100,Ethylene Glycol,5115550.95
1.88,1.71,29/71-R18,34/71-R18,79,94,Ethylene Glycol,4202620.59
1.97,2.03,28/71-R18,32/71-R18,72,85,Ethylene Glycol,2957184.0
1.72,1.91,30/71-R18,35/71-R18,71,101,Ethylene Glycol,4141812.55
1.92,1.88,31/71-R18,34/71-R18,72,85,Ethylene Glycol,3375389.37
1.67,1.83,31/71-R18,33/71-R18,70,92,Ethylene Glycol,3808984.0
1.94,1.62,27/71-R18,32/71-R18,71,103,Ethylene Glycol,3897389.4
1.77,1.7,30/71-R18,33/71-R18,79,86,Ethylene Glycol,3964197.19
1.56,1.8,30/71-R18,33/71-R18,80,88,Ethylene Glycol,4241499.43
1.65,2.08,29/71-R18,33/71-R18,77,87,Ethylene Glycol,3628309.51
1.99,1.75,28/71-R18,35/71-R18,77,89,Ethylene Glycol,3737413.65
1.54,1.91,30/71-R18,33/71-R18,83,101,Ethylene Glycol,4910451.59
1.72,1.8,28/71-R18,33/71-R18,72,101,Ethylene Glycol,4074584.24
1.43,2.08,31/71-R18,33/71-R18,81,98,Ethylene Glycol,4639258.94
1.81,1.79,29/71-R18,32/71-R18,74,87,Ethylene Glycol,3514504.2
1.76,1.83,28/71-R18,35/71-R18,78,91,Ethylene Glycol,4016994.47
1.45,1.8,27/71-R18,34/71-R18,74,87,Ethylene Glycol,3852771.58
1.93,1.71,27/71-R18,32/71-R18,79,96,Ethylene Glycol,3991109.17
1.92,2.0,29/71-R18,32/71-R18,78,102,Ethylene Glycol,4021676.82
1.94,1.59,29/71-R18,32/71-R18,77,100,Ethylene Glycol,4330568.34
1.92,2.03,28/71-R18,35/71-R18,82,88,Ethylene Glycol,3726753.44
1.61,1.92,29/71-R18,33/71-R18,76,94,Ethylene Glycol,4043581.92
1.94,1.57,29/71-R18,32/71-R18,81,104,Ethylene Glycol,4687038.0
1.47,1.57,30/71-R18,35/71-R18,82,101,Ethylene Glycol,5598806.36
1.45,1.82,29/71-R18,35/71-R18,82,97,Ethylene Glycol,4955546.32
1.43,2.03,29/71-R18,36/71-R18,74,88,Ethylene Glycol,3917528.86
1.73,2.08,29/71-R18,34/71-R18,83,99,Ethylene Glycol,4410675.32
1.67,1.88,29/71-R18,35/71-R18,78,95,Ethylene Glycol,4344269.05
1.57,2.07,31/71-R18,33/71-R18,81,92,Ethylene Glycol,4253875.93
1.5,1.89,28/71-R18,32/71-R18,81,89,Ethylene Glycol,4165379.34
1.98,2.09,30/71-R18,34/71-R18,70,104,Ethylene Glycol,3701640.31
1.76,1.66,27/71-R18,32/71-R18,75,102,Ethylene Glycol,4255815.79
1.65,1.85,31/71-R18,32/71-R18,83,102,Ethylene Glycol,4907437.84
1.73,1.6,29/71-R18,35/71-R18,71,99,Ethylene Glycol,4291052.52
1.49,1.86,28/71-R18,35/71-R18,80,101,Ethylene Glycol,4950603.94
1.9,1.78,29/71-R18,33/71-R18,76,90,Ethylene Glycol,3681050.09
1.82,1.82,30/71-R18,35/71-R18,76,89,Ethylene Glycol,3926182.38
1.84,1.95,28/71-R18,33/71-R18,78,98,Ethylene Glycol,3981940.11
1.55,1.66,28/71-R18,35/71-R18,77,86,Ethylene Glycol,4140127.0
1.61,1.57,30/71-R18,34/71-R18,75,87,Ethylene Glycol,4180832.19
1.71,2.01,29/71-R18,34/71-R18,83,101,Ethylene Glycol,4594965.68
1.48,1.52,30/71-R18,34/71-R18,71,95,Ethylene Glycol,4624709.25
1.53,1.58,27/71-R18,33/71-R18,71,102,Ethylene Glycol,4445511.01
1.64,1.76,31/71-R18,33/71-R18,75,85,Ethylene Glycol,3857493.75
1.87,1.74,30/71-R18,35/71-R18,74,88,Ethylene Glycol,3757888.5
1.68,2.01,30/71-R18,32/71-R18,74,86,Ethylene Glycol,3465567.94
1.77,1.71,28/71-R18,34/71-R18,80,103,Ethylene Glycol,4682124.28
1.72,1.78,29/71-R18,33/71-R18,77,88,Ethylene Glycol,3903218.0
1.51,1.71,31/71-R18,33/71-R18,82,102,Ethylene Glycol,5369828.27
1.76,1.63,31/71-R18,33/71-R18,79,90,Ethylene Glycol,4287660.33
1.47,1.78,28/71-R18,33/71-R18,83,97,Ethylene Glycol,4818059.02
1.59,1.56,29/71-R18,34/71-R18,77,95,Ethylene Glycol,4707411.5
1.95,1.54,28/71-R18,35/71-R18,70,87,Ethylene Glycol,3523094.66
1.51,1.63,28/71-R18,33/71-R18,79,98,Ethylene Glycol,4888298.8
1.68,1.95,27/71-R18,33/71-R18,76,87,Ethylene Glycol,3488627.81
1.94,1.81,29/71-R18,32/71-R18,79,90,Ethylene Glycol,3753013.5
1.72,1.65,28/71-R18,33/71-R18,79,91,Ethylene Glycol,4177156.72
1.59,1.63,28/71-R18,32/71-R18,70,97,Ethylene Glycol,4072673.63
1.76,1.91,30/71-R18,34/71-R18,84,88,Ethylene Glycol,4161457.32
1.72,1.85,30/71-R18,33/71-R18,72,94,Ethylene Glycol,3880611.95
1.57,1.72,30/71-R18,34/71-R18,77,97,Ethylene Glycol,4633736.95
1.6,2.06,27/71-R18,32/71-R18,75,100,Ethylene Glycol,3907002.05
1.5,1.61,28/71-R18,32/71-R18,76,93,Ethylene Glycol,4381729.33
1.45,1.81,29/71-R18,35/71-R18,84,90,Ethylene Glycol,4767785.89
1.64,2.08,31/71-R18,35/71-R18,70,90,Ethylene Glycol,3593499.68
1.8,2.06,29/71-R18,34/71-R18,72,97,Ethylene Glycol,3703171.92
1.86,1.61,28/71-R18,33/71-R18,70,104,Ethylene Glycol,4147901.68
1.55,1.57,30/71-R18,33/71-R18,74,95,Ethylene Glycol,4501336.04
1.96,1.69,30/71-R18,33/71-R18,77,94,Ethylene Glycol,4007447.6
1.73,1.83,28/71-R18,34/71-R18,73,85,Ethylene Glycol,3473067.48
1.48,1.5,27/71-R18,33/71-R18,75,87,Ethylene Glycol,4240450.8
1.61,2.06,31/71-R18,35/71-R18,83,95,Ethylene Glycol,4589474.99
1.96,1.61,27/71-R18,35/71-R18,75,92,Ethylene Glycol,3827287.94
1.9,1.95,31/71-R18,35/71-R18,74,89,Ethylene Glycol,3620807.46
1.54,1.88,31/71-R18,33/71-R18,79,102,Ethylene Glycol,4841416.04
1.89,1.76,28/71-R18,33/71-R18,75,85,Ethylene Glycol,3490722.95
1.85,1.8,28/71-R18,35/71-R18,76,86,Ethylene Glycol,3635869.36
1.73,2.04,30/71-R18,32/71-R18,75,87,Ethylene Glycol,3454617.12
1.78,1.7,27/71-R18,35/71-R18,82,85,Ethylene Glycol,3998628.91
1.72,2.04,30/71-R18,32/71-R18,70,89,Ethylene Glycol,3354225.37
1.87,1.59,28/71-R18,34/71-R18,74,94,Ethylene Glycol,4012399.73
1.61,1.99,27/71-R18,35/71-R18,77,104,Ethylene Glycol,4456452.0
1.64,1.98,27/71-R18,32/71-R18,81,97,Ethylene Glycol,4183930.64
1.83,1.88,30/71-R18,34/71-R18,80,89,Ethylene Glycol,3955377.82
1.9,2.08,28/71-R18,32/71-R18,76,99,Ethylene Glycol,3725294.98
1.57,1.87,31/71-R18,32/71-R18,71,85,Ethylene Glycol,3572621.76
1.41,2.02,31/71-R18,34/71-R18,73,89,Ethylene Glycol,3964855.81
1.95,1.92,27/71-R18,34/71-R18,79,93,Ethylene Glycol,3764935.98
1.65,1.94,31/71-R18,35/71-R18,76,85,Ethylene Glycol,3856175.54
1.47,2.09,31/71-R18,32/71-R18,78,85,Ethylene Glycol,3770134.6
1.92,1.81,30/71-R18,33/71-R18,78,93,Ethylene Glycol,3941302.4
1.52,1.97,30/71-R18,32/71-R18,73,95,Ethylene Glycol,3942542.53
1.95,1.78,29/71-R18,35/71-R18,80,96,Ethylene Glycol,4271174.35
1.95,1.65,29/71-R18,32/71-R18,74,85,Ethylene Glycol,3478160.33
1.62,1.85,30/71-R18,32/71-R18,74,101,Ethylene Glycol,4258436.43
1.51,2.08,27/71-R18,33/71-R18,81,92,Ethylene Glycol,4052337.4
1.7,1.86,27/71-R18,35/71-R18,80,103,Ethylene Glycol,4582676.0
1.61,1.78,30/71-R18,33/71-R18,77,103,Ethylene Glycol,4716025.27
1.44,1.97,29/71-R18,34/71-R18,81,101,Ethylene Glycol,4822464.39
1.64,1.84,27/71-R18,32/71-R18,82,91,Ethylene Glycol,4117544.47
1.85,1.66,31/71-R18,34/71-R18,70,102,Ethylene Glycol,4237474.05
1.92,1.74,29/71-R18,33/71-R18,76,92,Ethylene Glycol,3818709.46
1.46,1.98,27/71-R18,34/71-R18,84,92,Ethylene Glycol,4453709.3
1.46,1.65,30/71-R18,35/71-R18,80,100,Ethylene Glycol,5357247.59
1.64,1.9,28/71-R18,33/71-R18,71,91,Ethylene Glycol,3548665.92
1.78,1.94,31/71-R18,32/71-R18,72,88,Ethylene Glycol,3456666.12
1.79,1.92,31/71-R18,34/71-R18,80,94,Ethylene Glycol,4267986.13
1.9,1.72,27/71-R18,35/71-R18,74,90,Ethylene Glycol,3657710.64
1.86,1.72,31/71-R18,32/71-R18,79,96,Ethylene Glycol,4323553.66
1.48,2.02,29/71-R18,35/71-R18,70,102,Ethylene Glycol,4210050.0
1.41,1.66,29/71-R18,34/71-R18,76,93,Ethylene Glycol,4661074.33
1.48,2.0,31/71-R18,34/71-R18,82,86,Ethylene Glycol,4245060.83
1.56,1.51,31/71-R18,32/71-R18,73,93,Ethylene Glycol,4470110.9
1.56,1.83,30/71-R18,35/71-R18,76,94,Ethylene Glycol,4381636.47
1.48,1.66,28/71-R18,34/71-R18,71,96,Ethylene Glycol,4331034.01
1.78,1.8,29/71-R18,35/71-R18,74,98,Ethylene Glycol,4205120.82
1.43,1.6,30/71-R18,32/71-R18,73,103,Ethylene Glycol,4926917.81
1.55,1.73,28/71-R18,33/71-R18,70,91,Ethylene Glycol,3797436.66
1.77,2.07,29/71-R18,35/71-R18,75,89,Ethylene Glycol,3595488.75
1.69,1.66,29/71-R18,32/71-R18,73,95,Ethylene Glycol,4085134.21
1.91,2.07,27/71-R18,34/71-R18,71,93,Ethylene Glycol,3306438.98
1.45,1.94,29/71-R18,34/71-R18,79,91,Ethylene Glycol,4321858.21
1.45,1.55,27/71-R18,35/71-R18,75,86,Ethylene Glycol,4259902.5
1.46,1.69,31/71-R18,35/71-R18,70,94,Ethylene Glycol,4405905.33
1.81,1.81,27/71-R18,35/71-R18,72,92,Ethylene Glycol,3678684.15
1.78,1.96,30/71-R18,34/71-R18,77,102,Ethylene Glycol,4356947.7
1.69,1.63,31/71-R18,35/71-R18,84,94,Ethylene Glycol,5097633.82
1.75,2.1,29/71-R18,33/71-R18,76,98,Ethylene Glycol,3934135.16
1.47,1.94,28/71-R18,32/71-R18,80,102,Ethylene Glycol,4590065.81
1.85,1.53,29/71-R18,34/71-R18,76,101,Ethylene Glycol,4562782.45
1.79,1.72,29/71-R18,33/71-R18,72,89,Ethylene Glycol,3692894.8
1.72,1.76,29/71-R18,34/71-R18,77,101,Ethylene Glycol,4489970.5
1.72,1.9,30/71-R18,34/71-R18,82,94,Ethylene Glycol,4389062.96
1.93,1.75,29/71-R18,36/71-R18,80,97,Ethylene Glycol,4384298.78
1.72,2.06,31/71-R18,36/71-R18,73,101,Ethylene Glycol,4167558.99
1.64,1.79,30/71-R18,35/71-R18,84,94,Ethylene Glycol,4789405.13
1.46,1.7,29/71-R18,34/71-R18,70,87,Ethylene Glycol,3925563.89
